[ 2016-11-12T11:18:14+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-12T11:58:14+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:14+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:14+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.180011s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.180011s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.010000s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.022001s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005001s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.007000s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.045002s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.006000s ]
[ 2016-11-12T11:58:15+08:00 ] /index.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.006000s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002001s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002001s ]
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-12T12:01:37+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
