[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:1.139065s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:1.141065s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.011000s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.012001s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.048003s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.006001s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.083005s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.026001s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.026001s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
